Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
1, 0, LOC_CITY_NAME_TENOCHTITLAN, 3.95, 0.81, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 1, LOC_CITY_NAME_POKROVKA, 5.08, 0.57, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_SCOUT, Default Specialization, , , Value 16.9
1, 3, LOC_CITY_NAME_AACHEN, 4.40, -2.27, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 3, LOC_CITY_NAME_AACHEN, , , UNIT_SCOUT, Default Specialization, , , Value 16.9
1, 4, LOC_CITY_NAME_PARIS, -2.61, 0.10, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 4, LOC_CITY_NAME_PARIS, , , UNIT_SCOUT, Default Specialization, , , Value 21.3
1, 6, LOC_CITY_NAME_HATTUSA, -1.94, -2.75, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.1, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 6, LOC_CITY_NAME_HATTUSA, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 7, LOC_CITY_NAME_JERUSALEM, -0.35, 2.00, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 7, LOC_CITY_NAME_JERUSALEM, , , BUILDING_MONUMENT, Default Specialization, , , Value 16.9
1, 8, LOC_CITY_NAME_CARTHAGE, -1.48, -0.37, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 8, LOC_CITY_NAME_CARTHAGE, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 9, LOC_CITY_NAME_PRESLAV, 1.23, 0.34, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 9, LOC_CITY_NAME_PRESLAV, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 10, LOC_CITY_NAME_LISBON, 0.55, -0.13, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 10, LOC_CITY_NAME_LISBON, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 11, LOC_CITY_NAME_KABUL, 2.81, -3.70, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 11, LOC_CITY_NAME_KABUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 12, LOC_CITY_NAME_YEREVAN, 0.32, -0.37, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.1, , 
1, 12, LOC_CITY_NAME_YEREVAN, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 13, LOC_CITY_NAME_KANDY, -1.48, -1.32, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 13, LOC_CITY_NAME_KANDY, , , UNIT_SLINGER, Default Specialization, , , Value 4.5
1, 14, LOC_CITY_NAME_SEOUL, 1.23, 1.29, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: 0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: -0.1, , 
1, 14, LOC_CITY_NAME_SEOUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 16.9
15, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 164, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 367.0, Settle City Op
15, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 166, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 125.0, Build City Improvement
15, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 168, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 90.0, Build City Improvement
15, 4, LOC_CITY_NAME_PARIS, , CONTRACT 169, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 122.0, Build City Improvement
15, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 118, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_LAVRA, VALUE 405.4, Build City District
15, 5, LOC_CITY_NAME_ST_PETERSBURG, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 84.4
15, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 170, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 350.0, Settle City Op
16, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_SETTLER, Settle City Op, CONTRACT 149
16, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 174, SUBMITTED, UNIT_TRADER, NO_BUILDING, NO_DISTRICT, VALUE 20.0, Build Trigger Unit
16, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 176, SUBMITTED, UNIT_TRADER, NO_BUILDING, NO_DISTRICT, VALUE 45.0, Build Trigger Unit
16, 4, LOC_CITY_NAME_PARIS, , CONTRACT 112, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 269.6, Build City District
16, 4, LOC_CITY_NAME_PARIS, , , UNIT_SETTLER, Settle City Op, CONTRACT 155
16, 4, LOC_CITY_NAME_PARIS, , CONTRACT 177, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 17.0, Build City Building
16, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 179, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Build Trigger Unit
16, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 180, SUBMITTED, UNIT_TRADER, NO_BUILDING, NO_DISTRICT, VALUE 28.0, Build Trigger Unit
16, 6, LOC_CITY_NAME_HATTUSA, , CONTRACT 128, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 73.0, Build City Improvement
16, 6, LOC_CITY_NAME_HATTUSA, , , UNIT_WARRIOR, Default Specialization, , , Value 11.2
16, 7, LOC_CITY_NAME_JERUSALEM, , CONTRACT 182, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 20.0, Build City Building
16, 8, LOC_CITY_NAME_CARTHAGE, , CONTRACT 183, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 22.0, Build City Building
16, 9, LOC_CITY_NAME_PRESLAV, , CONTRACT 184, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 20.0, Build City Building
16, 10, LOC_CITY_NAME_LISBON, , , UNIT_BUILDER, Build City Improvement, CONTRACT 134
16, 10, LOC_CITY_NAME_LISBON, , CONTRACT 185, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 18.0, Build City Building
16, 11, LOC_CITY_NAME_KABUL, , CONTRACT 186, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 52.0, Build City Building
16, 13, LOC_CITY_NAME_KANDY, , CONTRACT 188, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 17.0, Build City Building
16, 14, LOC_CITY_NAME_SEOUL, , CONTRACT 189, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 22.0, Build City Building
17, 1, PURCHASE, , , UNIT_TRADER, Build Trigger Unit, CONTRACT 174
17, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 192, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 152.0, Build City Improvement
17, 5, PURCHASE, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 179
17, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 179, COMPLETED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Build Trigger Unit
17, 5, LOC_CITY_NAME_ST_PETERSBURG, , , UNIT_SETTLER, Settle City Op, CONTRACT 170
17, 8, LOC_CITY_NAME_CARTHAGE, , CONTRACT 129, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
17, 8, LOC_CITY_NAME_CARTHAGE, , , UNIT_GALLEY, Build City Building, CONTRACT 183
17, 9, LOC_CITY_NAME_PRESLAV, , CONTRACT 131, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 80.0, Build City Improvement
17, 9, LOC_CITY_NAME_PRESLAV, , , BUILDING_GRANARY, Build City Building, CONTRACT 184
17, 11, LOC_CITY_NAME_KABUL, , CONTRACT 136, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 99.0, Build City Improvement
17, 11, LOC_CITY_NAME_KABUL, , , BUILDING_GRANARY, Build City Building, CONTRACT 186
17, 12, LOC_CITY_NAME_YEREVAN, , CONTRACT 138, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
17, 12, LOC_CITY_NAME_YEREVAN, , , DISTRICT_HOLY_SITE, Build City District, CONTRACT 160
19, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 149, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 351.0, Settle City Op
19, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_BUILDER, Build City Improvement, CONTRACT 151
19, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 198, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_CAMPUS, VALUE 148.0, Build City District
19, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 199, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_CAMPUS, VALUE 231.0, Build City District
19, 6, LOC_CITY_NAME_HATTUSA, , , BUILDING_GRANARY, Default Specialization, , , Value 22.4
19, 14, LOC_CITY_NAME_SEOUL, , , UNIT_GALLEY, Build City Building, CONTRACT 189
20, 4, PURCHASE, , , UNIT_BUILDER, Build City Improvement, CONTRACT 169
20, 4, LOC_CITY_NAME_PARIS, , CONTRACT 201, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 21.0, Build Trigger Unit
20, 4, LOC_CITY_NAME_PARIS, , CONTRACT 202, SUBMITTED, UNIT_TRADER, NO_BUILDING, NO_DISTRICT, VALUE 31.0, Build Trigger Unit
20, 7, LOC_CITY_NAME_JERUSALEM, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 53.6
20, 10, LOC_CITY_NAME_LISBON, , CONTRACT 134, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
20, 10, LOC_CITY_NAME_LISBON, , , UNIT_GALLEY, Build City Building, CONTRACT 185
20, 12, LOC_CITY_NAME_YEREVAN, , CONTRACT 160, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 321.8, Build City District
20, 12, LOC_CITY_NAME_YEREVAN, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 51.8
20, 12, LOC_CITY_NAME_YEREVAN, , CONTRACT 204, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 65.0, Build City Improvement
21, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 151, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 206.0, Build City Improvement
21, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_BUILDER, Build City Improvement, CONTRACT 163
21, 4, LOC_CITY_NAME_PARIS, , CONTRACT 155, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 396.0, Settle City Op
21, 4, LOC_CITY_NAME_PARIS, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 60.9
21, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 170, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 350.0, Settle City Op
21, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 199, ACCEPTED, NO_UNIT, NO_BUILDING, DISTRICT_CAMPUS, VALUE 231.0, Build City District
21, 5, LOC_CITY_NAME_ST_PETERSBURG, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 98.4
21, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 206, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 64.0, Build City Building
21, 7, LOC_CITY_NAME_JERUSALEM, Canceling current build, OLD VALUE 55.4
21, 7, LOC_CITY_NAME_JERUSALEM, , , UNIT_GALLEY, Build City Building, CONTRACT 182
21, 8, LOC_CITY_NAME_CARTHAGE, , CONTRACT 183, COMPLETED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 42.2, Build City Building
21, 8, LOC_CITY_NAME_CARTHAGE, , , UNIT_GALLEY, Default Specialization, , , Value 14.7
21, 12, PURCHASE, , , UNIT_BUILDER, Build City Improvement, CONTRACT 204
22, 4, LOC_CITY_NAME_PARIS, , CONTRACT 214, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 52.0, Build City Improvement
22, 8, LOC_CITY_NAME_CARTHAGE, , CONTRACT 217, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Build City Building
22, 13, LOC_CITY_NAME_KANDY, , , DISTRICT_HOLY_SITE, Build City District, CONTRACT 121
22, 14, LOC_CITY_NAME_SEOUL, , CONTRACT 189, COMPLETED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 45.2, Build City Building
22, 14, LOC_CITY_NAME_SEOUL, , , UNIT_GALLEY, Default Specialization, , , Value 14.7
23, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_SCYTHIAN_HORSE_ARCHER, Default Specialization, , , Value 30.2
23, 1, LOC_CITY_NAME_KUL_OBA, 3.49, 0.34, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
23, 1, LOC_CITY_NAME_KUL_OBA, , , BUILDING_MONUMENT, Default Specialization, , , Value 24.3
23, 4, LOC_CITY_NAME_PARIS, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 63.0
23, 5, LOC_CITY_NAME_ST_PETERSBURG, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 95.2
23, 8, PURCHASE, , , UNIT_GALLEY, Build City Building, CONTRACT 217
23, 14, LOC_CITY_NAME_SEOUL, , CONTRACT 236, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 26.0, Build City Building
24, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 237, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 553.0, Settle City Op
24, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 243, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 130.0, Build City Improvement
24, 4, LOC_CITY_NAME_PARIS, , CONTRACT 214, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 52.0, Build City Improvement
24, 4, LOC_CITY_NAME_PARIS, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 60.9
24, 5, LOC_CITY_NAME_ST_PETERSBURG, Canceling current build, OLD VALUE 3.1
24, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 180, ACCEPTED, UNIT_TRADER, NO_BUILDING, NO_DISTRICT, VALUE 28.0, Build Trigger Unit
24, 5, LOC_CITY_NAME_ST_PETERSBURG, , CONTRACT 206, ACCEPTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 64.0, Build City Building
24, 5, LOC_CITY_NAME_ST_PETERSBURG, , , UNIT_WARRIOR, Default Specialization, , , Value 20.9
24, 8, LOC_CITY_NAME_CARTHAGE, , , BUILDING_GRANARY, Default Specialization, , , Value 5.8
25, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 251, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 152.0, Build City Improvement
25, 1, LOC_CITY_NAME_KUL_OBA, , CONTRACT 251, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 152.0, Build City Improvement
25, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 253, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 110.0, Build City Improvement
25, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 116, COMPLETED, NO_UNIT, BUILDING_STONEHENGE, NO_DISTRICT, VALUE 188.7, Seek Target Wonder
25, 3, LOC_CITY_NAME_AACHEN, , , UNIT_SETTLER, Settle City Op, CONTRACT 153
25, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 254, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 128.0, Build City Improvement
25, 7, LOC_CITY_NAME_JERUSALEM, , CONTRACT 182, COMPLETED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 36.5, Build City Building
25, 7, LOC_CITY_NAME_JERUSALEM, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 59.6
25, 13, LOC_CITY_NAME_KANDY, , CONTRACT 121, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 402.3, Build City District
25, 13, LOC_CITY_NAME_KANDY, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 50.9
26, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 257, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 257.0, Build City District
26, 1, LOC_CITY_NAME_KUL_OBA, , CONTRACT 258, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 156.0, Build City District
26, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 123, CANCELLED, NO_UNIT, BUILDING_STONEHENGE, NO_DISTRICT, VALUE 138.5, Seek Target Wonder
26, 2, LOC_CITY_NAME_WASHINGTON, , , UNIT_SETTLER, Settle City Op, CONTRACT 164
26, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 261, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_CAMPUS, VALUE 373.0, Build City District
26, 4, LOC_CITY_NAME_PARIS, , , BUILDING_SHRINE, Default Specialization, , , Value 204.3
26, 5, LOC_CITY_NAME_ST_PETERSBURG, , , UNIT_ARCHER, Default Specialization, , , Value 16.8
26, 5, LOC_CITY_NAME_TVER, 3.04, 3.67, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: 0.1, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
26, 5, LOC_CITY_NAME_TVER, , , UNIT_SCOUT, Default Specialization, , , Value 19.9
26, 6, LOC_CITY_NAME_HATTUSA, , CONTRACT 262, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_CAMPUS, VALUE 120.0, Build City District
26, 10, LOC_CITY_NAME_LISBON, , CONTRACT 185, COMPLETED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 38.3, Build City Building
26, 10, LOC_CITY_NAME_LISBON, , , UNIT_GALLEY, Default Specialization, , , Value 11.8
26, 11, LOC_CITY_NAME_KABUL, , CONTRACT 264, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HARBOR, VALUE 77.0, Build City District
26, 14, LOC_CITY_NAME_SEOUL, , CONTRACT 236, ACCEPTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 26.0, Build City Building
26, 14, LOC_CITY_NAME_SEOUL, , , NO BUILDS AT ALL (maybe city was nuked?), Generic Offense
26, 14, LOC_CITY_NAME_SEOUL, , , NO BUILDS AT ALL (maybe city was nuked?), Generic Offense
27, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 267, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 91.0, Build City Improvement
27, 1, LOC_CITY_NAME_KUL_OBA, , CONTRACT 267, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 91.0, Build City Improvement
27, 2, LOC_CITY_NAME_WASHINGTON, , CONTRACT 164, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 367.0, Settle City Op
27, 2, LOC_CITY_NAME_WASHINGTON, , , DISTRICT_CAMPUS, Build City District, CONTRACT 198
27, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 269, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 91.0, Build City Improvement
27, 5, LOC_CITY_NAME_TVER, , CONTRACT 271, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 19.0, Build City Building
27, 5, LOC_CITY_NAME_TVER, , CONTRACT 272, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_LAVRA, VALUE 209.0, Build City District
27, 5, LOC_CITY_NAME_TVER, , CONTRACT 273, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 93.0, Build City Improvement
27, 8, LOC_CITY_NAME_CARTHAGE, , CONTRACT 276, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HARBOR, VALUE 70.0, Build City District
27, 10, LOC_CITY_NAME_LISBON, , CONTRACT 278, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HARBOR, VALUE 77.0, Build City District
27, 12, LOC_CITY_NAME_YEREVAN, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 63.8
27, 13, LOC_CITY_NAME_KANDY, , CONTRACT 279, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HARBOR, VALUE 193.0, Build City District
27, 14, LOC_CITY_NAME_SEOUL, , , BUILDING_GRANARY, Default Specialization, , , Value 29.6
27, 14, LOC_CITY_NAME_SEOUL, , CONTRACT 280, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HARBOR, VALUE 157.0, Build City District
28, 1, PURCHASE, , , UNIT_BUILDER, Build City Improvement, CONTRACT 251
28, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 251, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 152.0, Build City Improvement
28, 1, LOC_CITY_NAME_POKROVKA, , , UNIT_SETTLER, Settle City Op, CONTRACT 237
28, 5, LOC_CITY_NAME_TVER, , CONTRACT 283, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 84.0, Build City Improvement
28, 9, LOC_CITY_NAME_PRESLAV, , CONTRACT 184, COMPLETED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 63.4, Build City Building
28, 9, LOC_CITY_NAME_PRESLAV, , , UNIT_WARRIOR, Default Specialization, , , Value 10.7
29, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 287, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 86.0, Build City Improvement
29, 1, LOC_CITY_NAME_KUL_OBA, , CONTRACT 287, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 86.0, Build City Improvement
29, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 153, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 367.0, Settle City Op
29, 3, LOC_CITY_NAME_AACHEN, , , DISTRICT_CAMPUS, Build City District, CONTRACT 261
29, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 288, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 137.0, Build City Improvement
29, 4, LOC_CITY_NAME_PARIS, , , UNIT_TRADER, Build Trigger Unit, CONTRACT 202
29, 5, LOC_CITY_NAME_ST_PETERSBURG, , , BUILDING_GRANARY, Default Specialization, , , Value 65.8
30, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 292, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 116.0, Build City Improvement
30, 1, LOC_CITY_NAME_KUL_OBA, , CONTRACT 292, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 116.0, Build City Improvement
30, 3, LOC_CITY_NAME_AACHEN, , CONTRACT 294, SUBMITTED, NO_UNIT, BUILDING_HANGING_GARDENS, NO_DISTRICT, VALUE 226.0, Seek Target Wonder
30, 4, FAITH PURCHASE, , , UNIT_MISSIONARY, Unknown, CONTRACT 289
30, 4, LOC_CITY_NAME_PARIS, , CONTRACT 297, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 37.0, Build Trigger Unit
30, 6, LOC_CITY_NAME_HATTUSA, , , DISTRICT_CAMPUS, Build City District, CONTRACT 262
30, 8, LOC_CITY_NAME_CARTHAGE, , , DISTRICT_HARBOR, Build City District, CONTRACT 276
30, 8, LOC_CITY_NAME_CARTHAGE, , CONTRACT 301, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 52.0, Build City Improvement
31, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 237, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 553.0, Settle City Op
31, 1, LOC_CITY_NAME_POKROVKA, , CONTRACT 267, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 91.0, Build City Improvement
31, 1, LOC_CITY_NAME_POKROVKA, , , DISTRICT_HOLY_SITE, Build City District, CONTRACT 257
31, 1, LOC_CITY_NAME_KUL_OBA, , CONTRACT 267, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 91.0, Build City Improvement
